Input_Context_Size,mistralai/Pixtral-12B-2409,google/gemma-3-12b-it,mistralai/Pixtral-Large-Instruct-2411,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-32B-Instruct,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,google/gemma-3-27b-it
Chart (one),0.36363636363636365,0.5454545454545454,0.5272727272727272,0.4727272727272727,0.5454545454545454,0.5272727272727272,0.5636363636363636
Chart + small txt,0.3287671232876712,0.3972602739726027,0.410958904109589,0.4383561643835616,0.6712328767123288,0.4794520547945205,0.4246575342465753
Average,0.34375,0.4609375,0.4609375,0.453125,0.6171875,0.5,0.484375
