Type,mistralai/Pixtral-12B-2409,google/gemma-3-12b-it,mistralai/Pixtral-Large-Instruct-2411,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-32B-Instruct,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,google/gemma-3-27b-it
Commission de performance,0.0,0.25,0.25,0.0,0.25,0.0,0.0
Commission de surperformance,0.7272727272727273,0.45454545454545453,0.5454545454545454,0.7272727272727273,0.7272727272727273,0.5454545454545454,0.8181818181818182
Frais et commissions,0.5,0.5,0.75,0.5,0.75,0.5,0.25
Performances passées,0.2916666666666667,0.4270833333333333,0.4270833333333333,0.4270833333333333,0.59375,0.4895833333333333,0.4479166666666667
Section réglementaire relative à l’ESG,0.46153846153846156,0.7692307692307693,0.6153846153846154,0.5384615384615384,0.7692307692307693,0.6923076923076923,0.6923076923076923
Average,0.34375,0.4609375,0.4609375,0.453125,0.6171875,0.5,0.484375
