Question_type,mistralai/Pixtral-12B-2409,google/gemma-3-12b-it,mistralai/Pixtral-Large-Instruct-2411,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-32B-Instruct,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,google/gemma-3-27b-it
Open,0.23404255319148937,0.39361702127659576,0.39361702127659576,0.39361702127659576,0.5531914893617021,0.4148936170212766,0.4148936170212766
Oui / Non,0.6071428571428571,0.6428571428571429,0.6071428571428571,0.6428571428571429,0.8214285714285714,0.75,0.7142857142857143
Vrai / Faux,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.5
Average,0.34375,0.4609375,0.4609375,0.453125,0.6171875,0.5,0.484375
