Type,Qwen/Qwen3-VL-8B-Instruct,mistralai/Pixtral-Large-Instruct-2411,google/gemma-3-12b-it,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409
Forme juridique statutaire,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.7272727272727273
Fourchette de sensibilité (Part I),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais courants,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais courants annuels de la Part P,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais d'entrée,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais d'entrée de la Part P,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais de gestion,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais de gestion Parts I,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais de gestion Parts R,1.0,1.0,1.0,1.0,0.0,0.0,1.0
Frais de gestion en %,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais de gestion en % ( Part I),0.0,1.0,1.0,0.0,0.0,1.0,0.0
Frais de performance,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Frais de sortie,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais de sortie ( Part I),1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais de sortie après 1 an,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais de sortie en %,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais de sortie en dollars,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais de transaction,0.75,1.0,0.75,0.75,0.75,0.75,0.75
Frais de transaction en %,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Frais de transfert,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Frais d’entrée,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
