Context size,Qwen/Qwen3-VL-8B-Instruct,mistralai/Pixtral-Large-Instruct-2411,google/gemma-3-12b-it,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409
Document,0.8913043478260869,0.9021739130434783,0.8913043478260869,0.9021739130434783,0.9130434782608695,0.8858695652173914,0.8804347826086957
Large (More than 1 paragraph),0.8333333333333334,0.8240740740740741,0.8055555555555556,0.8240740740740741,0.8240740740740741,0.8240740740740741,0.8425925925925926
Medium (1 paragraph),0.9315068493150684,0.8835616438356164,0.9246575342465754,0.9315068493150684,0.9178082191780822,0.9315068493150684,0.9246575342465754
Small (1-2 sentences),0.9210526315789473,0.8421052631578947,0.8421052631578947,0.9736842105263158,0.9210526315789473,0.9473684210526315,0.8947368421052632
Table (one),0.9090909090909091,1.0,1.0,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.9090909090909091
Very large (prospectus size part),0.9285714285714286,0.9285714285714286,0.8571428571428571,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.7857142857142857
Average,0.8942115768463074,0.8782435129740519,0.8802395209580839,0.8982035928143712,0.8902195608782435,0.8902195608782435,0.8842315369261478
