Input_Context_Size,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-12b-it,mistralai/Pixtral-Large-Instruct-2411,google/gemma-3-27b-it,Qwen/Qwen3-VL-8B-Instruct
Large (More than 1 paragraph),0.7333333333333333,0.5666666666666667,0.8333333333333334,0.5666666666666667,0.6,0.6333333333333333,0.7333333333333333
Table (one),0.2,0.5333333333333333,0.2,0.6,0.13333333333333333,0.3333333333333333,0.2
Table + small txt,0.45,0.45,0.5,0.35,0.5,0.4,0.45
Average,0.5230769230769231,0.5230769230769231,0.5846153846153846,0.5076923076923077,0.46153846153846156,0.49230769230769234,0.5230769230769231
