Domain,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-12b-it,mistralai/Pixtral-Large-Instruct-2411,google/gemma-3-27b-it,Qwen/Qwen3-VL-8B-Instruct
coût au fil du temps,0.0,0.2,0.0,0.0,0.1,0.0,0.0
frais,0.8,0.6,0.8666666666666667,0.8,0.7333333333333333,0.8666666666666667,0.8
présentation des actions du compartiment,0.0,0.6,0.0,0.4,0.0,0.0,0.0
scenarios de performance,0.7333333333333333,0.5666666666666667,0.8333333333333334,0.5666666666666667,0.6,0.6333333333333333,0.7333333333333333
Average,0.5230769230769231,0.5230769230769231,0.5846153846153846,0.5076923076923077,0.46153846153846156,0.49230769230769234,0.5230769230769231
