Type,mistralai/Pixtral-Large-Instruct-2411,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,google/gemma-3-12b-it,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-32B-Instruct,mistralai/Pixtral-12B-2409
Calcul de la commission de performance,0.2,0.2,0.4,0.2,0.6,0.6,0.0
Instruments dérivés utilisés pour atteindre l'objectif de gestion,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857143,0.42857142857142855,0.7142857142857143,0.2857142857142857
Présentation d'un compartiment,0.8888888888888888,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.3333333333333333
Section réglementaire relative à l’ESG,0.0,1.0,1.0,0.0,1.0,1.0,1.0
Average,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.4090909090909091,0.6363636363636364,0.7272727272727273,0.2727272727272727
