Question_type,mistralai/Pixtral-Large-Instruct-2411,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,google/gemma-3-12b-it,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-32B-Instruct,mistralai/Pixtral-12B-2409
Open,0.631578947368421,0.47368421052631576,0.6842105263157895,0.42105263157894735,0.5789473684210527,0.6842105263157895,0.21052631578947367
Oui / Non,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666
Average,0.6363636363636364,0.5454545454545454,0.7272727272727273,0.4090909090909091,0.6363636363636364,0.7272727272727273,0.2727272727272727
