Input_Context_Size,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-12b-it,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409
Table (one),0.6915887850467289,0.7383177570093458,0.6355140186915887,0.6448598130841121,0.7570093457943925,0.5700934579439252
Table + small txt,0.7692307692307693,0.7692307692307693,0.6923076923076923,0.5384615384615384,0.6923076923076923,0.5384615384615384
Average,0.7,0.7416666666666667,0.6416666666666667,0.6333333333333333,0.75,0.5666666666666667
