Question_type,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-12b-it,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409
Oui / Non,0.6881720430107527,0.7096774193548387,0.6236559139784946,0.5913978494623656,0.7204301075268817,0.5698924731182796
Vrai / Faux,0.7407407407407407,0.8518518518518519,0.7037037037037037,0.7777777777777778,0.8518518518518519,0.5555555555555556
Average,0.7,0.7416666666666667,0.6416666666666667,0.6333333333333333,0.75,0.5666666666666667
