Question_type,google/gemma-3-27b-it,mistralai/Pixtral-12B-2409,mistralai/Pixtral-Large-Instruct-2411,Qwen/Qwen3-VL-32B-Instruct,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,google/gemma-3-12b-it
Oui / Non,0.8279569892473119,0.5161290322580645,0.7204301075268817,0.8494623655913979,0.7741935483870968,0.9032258064516129,0.8387096774193549
Vrai / Faux,0.9259259259259259,0.5185185185185185,0.7037037037037037,0.8888888888888888,0.8888888888888888,0.8148148148148148,0.9259259259259259
Average,0.85,0.5166666666666667,0.7166666666666667,0.8583333333333333,0.8,0.8833333333333333,0.8583333333333333
