Input_Context_Size,google/gemma-3-27b-it,mistralai/Pixtral-12B-2409,mistralai/Pixtral-Large-Instruct-2411,Qwen/Qwen3-VL-32B-Instruct,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,google/gemma-3-12b-it
Table (one),0.8598130841121495,0.4953271028037383,0.7289719626168224,0.8691588785046729,0.794392523364486,0.8785046728971962,0.8785046728971962
Table + small txt,0.7692307692307693,0.6923076923076923,0.6153846153846154,0.7692307692307693,0.8461538461538461,0.9230769230769231,0.6923076923076923
Average,0.85,0.5166666666666667,0.7166666666666667,0.8583333333333333,0.8,0.8833333333333333,0.8583333333333333
