Domain,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-Large-Instruct-2411,Qwen/Qwen3-VL-8B-Instruct,google/gemma-3-12b-it,google/gemma-3-27b-it,mistralai/Pixtral-12B-2409,Qwen/Qwen3-VL-32B-Instruct
coût au fil du temps,0.9,0.8,0.9,0.8,1.0,0.8,0.9
frais,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.8,0.7333333333333333,0.6,0.8666666666666667
présentation des actions du compartiment,0.9,1.0,0.8,0.7,0.6,0.7,1.0
scenarios de performance,0.7333333333333333,0.5,0.6666666666666666,0.6333333333333333,0.7,0.5666666666666667,0.8
Average,0.7846153846153846,0.7076923076923077,0.7384615384615385,0.7076923076923077,0.7384615384615385,0.6307692307692307,0.8615384615384616
